molecule,brand_generic,product,quarter,snapshot_as_of_date,n_ndcs,median_nadac_per_unit,units_per_day,days,est_30day_acquisition_cost,dose,dose_source
levetiracetam,generic,LEVETIRACETAM 500 MG TABLET,2019Q1,2019-03-27,29,0.09818,2,30,5.89,"500 mg twice daily (1,000 mg/day)","Keppra label, adults 16+ with partial-onset seizures: start 1,000 mg/day in two doses; maximum 3,000 mg/day"
levetiracetam,generic,LEVETIRACETAM 500 MG TABLET,2026Q3,2026-09-16,35,0.07391,2,30,4.43,"500 mg twice daily (1,000 mg/day)","Keppra label, adults 16+ with partial-onset seizures: start 1,000 mg/day in two doses; maximum 3,000 mg/day"
levetiracetam,brand,KEPPRA 500 MG TABLET,2019Q1,2019-03-27,1,7.55644,2,30,453.39,"500 mg twice daily (1,000 mg/day)","Keppra label, adults 16+ with partial-onset seizures: start 1,000 mg/day in two doses; maximum 3,000 mg/day"
levetiracetam,brand,KEPPRA 500 MG TABLET,2026Q3,2026-09-16,1,9.91551,2,30,594.93,"500 mg twice daily (1,000 mg/day)","Keppra label, adults 16+ with partial-onset seizures: start 1,000 mg/day in two doses; maximum 3,000 mg/day"
lamotrigine,generic,LAMOTRIGINE 150 MG TABLET,2019Q1,2019-03-27,21,0.06597,2,30,3.96,150 mg twice daily (300 mg/day),"Lamictal label, adjunctive maintenance for adults not on valproate or enzyme inducers: 225 to 375 mg/day in two doses"
lamotrigine,generic,LAMOTRIGINE 150 MG TABLET,2026Q3,2026-09-16,19,0.07068,2,30,4.24,150 mg twice daily (300 mg/day),"Lamictal label, adjunctive maintenance for adults not on valproate or enzyme inducers: 225 to 375 mg/day in two doses"
lamotrigine,brand,LAMICTAL 150 MG TABLET,2019Q1,2019-03-27,1,15.40504,2,30,924.3,150 mg twice daily (300 mg/day),"Lamictal label, adjunctive maintenance for adults not on valproate or enzyme inducers: 225 to 375 mg/day in two doses"
lamotrigine,brand,LAMICTAL 150 MG TABLET,2026Q3,2026-09-16,1,11.46925,2,30,688.16,150 mg twice daily (300 mg/day),"Lamictal label, adjunctive maintenance for adults not on valproate or enzyme inducers: 225 to 375 mg/day in two doses"
lacosamide,generic,LACOSAMIDE 150 MG TABLET,2026Q3,2026-09-16,14,0.21273,2,30,12.76,150 mg twice daily (300 mg/day),"Vimpat label, adults 17+: maintenance 300 to 400 mg/day monotherapy, 200 to 400 mg/day adjunctive"
lacosamide,brand,VIMPAT 150 MG TABLET,2019Q1,2019-03-27,2,14.62101,2,30,877.26,150 mg twice daily (300 mg/day),"Vimpat label, adults 17+: maintenance 300 to 400 mg/day monotherapy, 200 to 400 mg/day adjunctive"
lacosamide,brand,VIMPAT 150 MG TABLET,2026Q3,2026-09-16,2,19.6447,2,30,1178.68,150 mg twice daily (300 mg/day),"Vimpat label, adults 17+: maintenance 300 to 400 mg/day monotherapy, 200 to 400 mg/day adjunctive"
clobazam,generic,CLOBAZAM 10 MG TABLET,2019Q1,2019-03-27,8,0.70926,2,30,42.56,10 mg twice daily (20 mg/day),"Onfi label, Lennox-Gastaut syndrome, patients over 30 kg: 20 mg/day from day 7, up to 40 mg/day"
clobazam,generic,CLOBAZAM 10 MG TABLET,2026Q3,2026-09-16,9,0.24734,2,30,14.84,10 mg twice daily (20 mg/day),"Onfi label, Lennox-Gastaut syndrome, patients over 30 kg: 20 mg/day from day 7, up to 40 mg/day"
clobazam,brand,ONFI 10 MG TABLET,2019Q1,2019-03-27,1,19.33203,2,30,1159.92,10 mg twice daily (20 mg/day),"Onfi label, Lennox-Gastaut syndrome, patients over 30 kg: 20 mg/day from day 7, up to 40 mg/day"
clobazam,brand,ONFI 10 MG TABLET,2026Q3,2026-09-16,1,29.91442,2,30,1794.87,10 mg twice daily (20 mg/day),"Onfi label, Lennox-Gastaut syndrome, patients over 30 kg: 20 mg/day from day 7, up to 40 mg/day"
brivaracetam,generic,BRIVARACETAM 50 MG TABLET,2026Q3,2026-09-16,6,0.18721,2,30,11.23,50 mg twice daily (100 mg/day),"Briviact label, adults: recommended starting dosage 50 mg twice daily; range 25 to 100 mg twice daily"
brivaracetam,brand,BRIVIACT 50 MG TABLET,2019Q1,2019-03-27,2,18.26081,2,30,1095.65,50 mg twice daily (100 mg/day),"Briviact label, adults: recommended starting dosage 50 mg twice daily; range 25 to 100 mg twice daily"
brivaracetam,brand,BRIVIACT 50 MG TABLET,2026Q3,2026-09-16,2,24.07953,2,30,1444.77,50 mg twice daily (100 mg/day),"Briviact label, adults: recommended starting dosage 50 mg twice daily; range 25 to 100 mg twice daily"
cenobamate,brand,XCOPRI 200 MG TABLET,2026Q3,2026-09-16,1,39.86819,1,30,1196.05,200 mg once daily,"Xcopri label, adults: recommended maintenance dosage 200 mg once daily after titration; maximum 400 mg/day"
